FILE NUMBER,FIELD,TYPE,GLOBAL REFERENCE,SET,KILL,Valid,Set,Read,Kill,Comments
50,64,MUMPS,"^PSDRUG(""APN"",","S X(1)=$G(^PSDRUG(DA,""ND"")) I $P(X(1),""^"")]"""",$P(X(1),""^"",3)]"""" S ^PSDRUG(""APN"",X,$P(X(1),""^"")_""A""_$P(X(1),""^"",3),DA)=""""","S X(1)=$G(^PSDRUG(DA,""ND"")) I $P(X(1),""^"")]"""",$P(X(1),""^"",3)]"""" K ^PSDRUG(""APN"",X,$P(X(1),""^"")_""A""_$P(X(1),""^"",3),DA)",1,,,,
50,100,MUMPS,"^PSDRUG(DA,""I"",","S ^PSDRUG(DA,""I"")=X","K ^PSDRUG(DA,""I"")",1,,,,"This kills the entire ""I"" node if the inactive date is deleted instead of leaving the ""I"" node with a blank field."
50,100,MUMPS,"^PS(50.7,","I '$D(DIU(0)) N PSSTEST S PSSTEST=$P($G(^PSDRUG(DA,2)),""^"") Q:'PSSTEST  S PSSCROSS=1 D EN1^PSSPOIDT K PSSCROSS Q","I '$D(DIU(0)) N PSSTEST S PSSTEST=$P($G(^PSDRUG(DA,2)),""^"") Q:'PSSTEST  S PSSCROSS=1 D EN1^PSSPOIDT K PSSCROSS Q",1,,,,Direct setting of data in routine
50,213,MUMPS,"^PSDRUG(""AQ"",","S:X=1 ^PSDRUG(""AQ"",DA)=""""","K ^PSDRUG(""AQ"",DA)",1,,,,
50,213,MUMPS,"^PSDRUG(DA,4,","S TMP=X N X S X=""PSXREF"" X ^%ZOSF(""TEST"") Q:'$T  S X=TMP K TMP D ACT^PSXREF",,1,,,,Direct setting of data in routine
50,901,MUMPS,"^PSDRUG(DA,""DOS1"",",D SETS^PSSDOSED,D KILLS^PSSDOSED,1,,,,Direct setting of data in routine
50.0212,1,MUMPS,,"S ^PSDRUG(DA(1),212,""AC"",+^PSDRUG(DA(1),212,DA,0),X,DA)=""""","K ^PSDRUG(DA(1),212,""AC"",+^PSDRUG(DA(1),212,DA,0),X,DA)",1,,,,
50.065,0.01,MUMPS,"^PSDRUG(""AFA"",","S ^PSDRUG(""AFA"",X,DA(1))=""""","K ^PSDRUG(""AFA"",X,DA(1))",1,,,,
50.0903,0.01,MUMPS,"^PSDRUG(DA(1),""DOS1"",",D SET^PSSDOSED,D KILL^PSSDOSED,1,,,,Direct setting of data in routine
50.21,1,MUMPS,"^PS(50.2,""AD"",","S ^PS(50.2,""AD"",DA(1),X)=""""","K ^PS(50.2,""AD"",DA(1),X)",1,,,,"Normal cross-reference format would be $E(X,1,30),DA(1),DA)"
50.31,0.01,MUMPS,"^PS(50.3,DA(1),1,""AFI"",","S X(1)=$G(^PS(50.3,DA(1),1,DA,0)),^PS(50.3,DA(1),1,""AFI"",X)='$P(X(1),""^"",2)_$S($P(X(1),""^"",3):""^""_$P(X(1),""^"",3),1:"""")","K ^PS(50.3,DA(1),1,""AFI"",X)",1,,,,
50.31,0.01,MUMPS,"^PS(50.3,""AIU""_value,","S X(1)=$P($G(^PS(50.3,DA(1),0)),""^"") I X(1)]"""" S ^PS(50.3,""AIU""_X,X(1),DA(1))=""""","S X(1)=$P($G(^PS(50.3,DA(1),0)),""^"") I X(1)]"""" K ^PS(50.3,""AIU""_X,X(1),DA(1))",1,,,,
50.416,0.01,MUMPS,,"I $P(^PS(50.416,DA,0),""^"",2)]"""" S ^PS(50.416,""APS"",$P(^PS(50.416,DA,0),""^"",2),DA)=""""","I $P(^PS(50.416,DA,0),""^"",2)]"""" K ^PS(50.416,""APS"",$P(^PS(50.416,DA,0),""^"",2),DA)",1,,,,
50.4161,0.01,MUMPS,"^PS(50.416,""APD"",","S ^PS(50.416,""APD"",X,$S(+$P(^PS(50.416,DA(1),0),""^"",2):+$P(^(0),""^"",2),1:DA(1)))=""""","K ^PS(50.416,""APD"",X,$S(+$P(^PS(50.416,DA(1),0),""^"",2):+$P(^(0),""^"",2),1:DA(1)))",1,,,,
50.6,1,MUMPS,"^PSNDF(50.68,
^PSNDF(50.67,",D GENER^PSNXREF,D KGENER^PSNXREF,1,,,,Direct setting of data into two separate files
50.605,1,MUMPS,"^PS(50.605,""C"",","S ^PS(50.605,""C"",$E(X,1,64),DA)=""""","K ^PS(50.605,""C"",$E(X,1,64),DA)",1,,,,"Normal size is $E(X,1,30)"
50.6068,0.01,MUMPS,"^PS(50.606,""ACON""_value,","N PSSAP,PSSAPL S PSSAP=$P($G(^PS(50.606,DA(1),""UNIT"",DA,0)),""^"",2) I PSSAP'="""" F PSSAPL=1:1:$L(PSSAP) S ^PS(50.606,""ACON""_$E(PSSAP,PSSAPL),DA(1),+$G(X))=""""","N PSSAPX,PSSAPXL S PSSAPX=$P($G(^PS(50.606,DA(1),""UNIT"",DA,0)),""^"",2) I PSSAPX'="""" F PSSAPXL=1:1:$L(PSSAPX) K ^PS(50.606,""ACON""_$E(PSSAPX,PSSAPXL),DA(1),+$G(X))",1,,,,
50.6068,1,MUMPS,"^PS(50.606,""ACON""_value,","N PSSAU F PSSAU=1:1:$L(X) S ^PS(50.606,""ACON""_$E(X,PSSAU),DA(1),+$P($G(^PS(50.606,DA(1),""UNIT"",DA,0)),""^""))=""""","N PSSAUP F PSSAUP=1:1:$L(X) K ^PS(50.606,""ACON""_$E(X,PSSAUP),DA(1),+$P($G(^PS(50.606,DA(1),""UNIT"",DA,0)),""^""))",1,,,,
50.6069,0.01,MUMPS,"^PS(50.606,""ADUP""_value,","N PSSDUP,PSSDUPL S PSSDUP=$P($G(^PS(50.606,DA(1),""DUPD"",DA,0)),""^"",2) I PSSDUP'="""" F PSSDUPL=1:1:$L(PSSDUP) S ^PS(50.606,""ADUP""_$E(PSSDUP,PSSDUPL),DA(1),$G(X))=""""","N PSSDXP,PSSDXPL S PSSDXP=$P($G(^PS(50.606,DA(1),""DUPD"",DA,0)),""^"",2) I PSSDXP'="""" F PSSDXPL=1:1:$L(PSSDXP) K ^PS(50.606,""ADUP""_$E(PSSDXP,PSSDXPL),DA(1),$G(X))",1,,,,
50.6069,1,MUMPS,"^PS(50.606,""ADUP""_value,","N PSSDP F PSSDP=1:1:$L(X) S ^PS(50.606,""ADUP""_$E(X,PSSDP),DA(1),$P($G(^PS(50.606,DA(1),""DUPD"",DA,0)),""^""))=""""","N PSSDPK F PSSDPK=1:1:$L(X) K ^PS(50.606,""ADUP""_$E(X,PSSDPK),DA(1),$P($G(^PS(50.606,DA(1),""DUPD"",DA,0)),""^""))",1,,,,
50.67,5,MUMPS,"^PSNDF(50.68,""ANDC"",","S ^PSNDF(50.68,""ANDC"",X,DA)=""""","K ^PSNDF(50.68,""ANDC"",X,DA)",1,,,,
50.68,0.05,MUMPS,"^PSNDF(50.6,""APRO"",","S ^PSNDF(50.6,""APRO"",X,DA)=""""","K ^PSNDF(50.6,""APRO"",X,DA)",1,,,,
50.68,0.05,MUMPS,"^PS(50.416,",D ING2^PSNXREF,D KING2^PSNXREF,1,,,,Direct setting of data in routine
50.68,21,MUMPS,"^PSNDF(50.7,",D PROD^PSNXREF,D KPROD^PSNXREF,1,,,,Direct setting of data in routine
50.6814,0.01,MUMPS,"^PS(50.416,",D ING^PSNXREF,D KING^PSNXREF,1,,,,Direct setting of data in routine
50.7,0.01,MUMPS,"^PS(50.7,""B"",","S ^PS(50.7,""B"",$E(X,1,40),DA)=""""","K ^PS(50.7,""B"",$E(X,1,40),DA)",1,,,,"Normal size is $E(X,1,30)"
50.7,0.02,MUMPS,"^PS(50.7,""ADF"",","S ^PS(50.7,""ADF"",$P($G(^PS(50.7,DA,0)),""^""),X,DA)=""""","K ^PS(50.7,""ADF"",$P($G(^PS(50.7,DA,0)),""^""),X,DA)",1,,,,
50.7,0.04,MUMPS,"^PS(50.7,","I '$D(DIU(0)) N PSSTEST S PSSTEST=DA,PSSCROSS=1 D EN1^PSSPOIDT K PSSCROSS Q","I '$D(DIU(0)) N PSSTEST S PSSTEST=DA,PSSCROSS=1 D EN1^PSSPOIDT K PSSCROSS Q",1,,,,
50.72,0.01,MUMPS,"^PS(50.7,","I '$D(DIU(0)),'$G(PSCREATE) N PSSTEST S PSSTEST=DA(1),PSSCROSS=1,ZTIO="""",ZTDTH=$H,ZTDESC=""Orderable Item Update"",ZTRTN=""EN1^PSSPOIDT"",ZTSAVE(""PSSCROSS"")="""",ZTSAVE(""PSSTEST"")="""" D ^%ZTLOAD K PSSCROSS Q","I '$D(DIU(0)),'$G(PSCREATE) N PSSTEST S PSSTEST=DA(1),PSSCROSS=1,ZTIO="""",ZTDTH=$H,ZTDESC=""Orderable Item Update"",ZTRTN=""EN1^PSSPOIDT"",ZTSAVE(""PSSCROSS"")="""",ZTSAVE(""PSSTEST"")="""" D ^%ZTLOAD K PSSCROSS Q",1,,,,
50.76,0.01,MUMPS,"^PS(50.7,",D ASKSYN^PSSPOIMP,I,1,,,,Contains a prompt
50.8,0.01,MUMPS,"^PS(50.8,""AIVC"",","S ^PS(50.8,""AIVC"")=$S($D(^PS(59.7,1,20)):$P(^(20),""^""),1:"""")",,1,,,,
50.805,0.01,MUMPS,"^PS(50.8,DA(2),2,DA(1),2,""AC"",","I '$D(PSIVV),$D(^PS(50.8)) D ^PSIVXREF Q",,1,,,,
